Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://www.google-analytics.com/g/collect?v=2&tid=G-0BJFXRKTYC&gtm=45je5bi1v9184871799za200zd9184871799&_p=1763822334786&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1719222799.1763320976&ul=en-gb&sr=1536x864&uaa=x86&uab=64&uafvl=Chromium%3B142.0.7444.176%7CGoogle%2520Chrome%3B142.0.7444.176%7CNot_A%2520Brand%3B99.0.0.0&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=4&tag_exp=103116026~103200004~104527907~104528500~104684208~104684211~115497442~115583767~115616986~115938465~115938469~116184927~116184929~116217636~116217638&dp=%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dl=https%3A%2F%2Fpracticesoftwaretesting.com%2Fcheckout&dr=https%3A%2F%2Fpracticesoftwaretesting.com%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&sid=1763822334&sct=5&seg=1&dt=Checkout%20-%20Practice%20Software%20Testing%20-%20Toolshop%20-%20v5.0&en=page_view&_et=3006&tfd=9706,5,119,68,213,62.80,0.000%,.14920,0.11,0.19,769.0
https://www.google-analytics.com/g/collect?v=2&tid=G-0BJFXRKTYC&gtm=45je5bi1v9184871799za200zd9184871799&_p=1763822334786&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1719222799.1763320976&ul=en-gb&sr=1536x864&uaa=x86&uab=64&uafvl=Chromium%3B142.0.7444.176%7CGoogle%2520Chrome%3B142.0.7444.176%7CNot_A%2520Brand%3B99.0.0.0&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=5&tag_exp=103116026~103200004~104527907~104528500~104684208~104684211~115497442~115583767~115616986~115938465~115938469~116184927~116184929~116217636~116217638&dp=%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dl=https%3A%2F%2Fpracticesoftwaretesting.com%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&cu=USD&sid=1763822334&sct=5&seg=1&dr=https%3A%2F%2Fpracticesoftwaretesting.com%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dt=Checkout%20-%20Practice%20Software%20Testing%20-%20Toolshop%20-%20v5.0&en=begin_checkout&_ee=1&pr1=id01KANXV18VA51JQBBKT0D8YXMM~nmCombination%20Pliers~caUnknown~brUnknown~pr14.15~qt1&epn.value=14.15&_et=1163&tfd=14711,5,162,68,475,157.46,0.000%,.14916,0.11,0.21,769.0
https://api.practicesoftwaretesting.com/payment/check,5,249,230,278,16.67,0.000%,.14833,0.06,0.13,421.0
https://api.practicesoftwaretesting.com/invoices,5,256,241,271,11.84,100.000%,.14815,0.05,0.16,375.0
https://www.google-analytics.com/g/collect?v=2&tid=G-0BJFXRKTYC&gtm=45je5bi1v9184871799za200zd9184871799&_p=1763822334786&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1719222799.1763320976&ul=en-gb&sr=1536x864&uaa=x86&uab=64&uafvl=Chromium%3B142.0.7444.176%7CGoogle%2520Chrome%3B142.0.7444.176%7CNot_A%2520Brand%3B99.0.0.0&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AEEAAAQ&_s=6&tag_exp=103116026~103200004~104527907~104528500~104684208~104684211~115497442~115583767~115616986~115938465~115938469~116184927~116184929~116217636~116217638&dp=%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dl=https%3A%2F%2Fpracticesoftwaretesting.com%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&sid=1763822334&sct=5&seg=1&dr=https%3A%2F%2Fpracticesoftwaretesting.com%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dt=Checkout%20-%20Practice%20Software%20Testing%20-%20Toolshop%20-%20v5.0&en=form_start&ep.form_id=&ep.form_name=&ep.form_destination=https%3A%2F%2Fpracticesoftwaretesting.com%2Fcheckout&epn.form_length=1&ep.first_field_id=payment-method&ep.first_field_name=&ep.first_field_type=&epn.first_field_position=1&_et=18252&tfd=32967,5,100,69,189,45.71,0.000%,.14893,0.11,0.22,769.0
https://www.google-analytics.com/g/collect?v=2&tid=G-0BJFXRKTYC&gtm=45je5bi1v9184871799za200zd9184871799&_p=1763822334786&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1719222799.1763320976&ul=en-gb&sr=1536x864&uaa=x86&uab=64&uafvl=Chromium%3B142.0.7444.176%7CGoogle%2520Chrome%3B142.0.7444.176%7CNot_A%2520Brand%3B99.0.0.0&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=7&tag_exp=103116026~103200004~104527907~104528500~104684208~104684211~115497442~115583767~115616986~115938465~115938469~116184927~116184929~116217636~116217638&dp=%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dl=https%3A%2F%2Fpracticesoftwaretesting.com%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&cu=USD&sid=1763822334&sct=5&seg=1&dr=https%3A%2F%2Fpracticesoftwaretesting.com%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dt=Checkout%20-%20Practice%20Software%20Testing%20-%20Toolshop%20-%20v5.0&en=purchase&_c=1&_ee=1&pr1=id01KANXV18VA51JQBBKT0D8YXMM~nmCombination%20Pliers~caUnknown~brUnknown~pr14.15~qt1&ep.transaction_id=INV-2025000005&epn.value=14.15&_et=5086&tfd=33054,5,180,133,273,56.54,0.000%,.14863,0.28,0.27,1906.8
https://api.practicesoftwaretesting.com/invoices?page=1,5,255,232,282,18.99,100.000%,.14801,0.05,0.12,375.0
https://www.google-analytics.com/g/collect?v=2&tid=G-0BJFXRKTYC&gtm=45je5bi1v9184871799za200zd9184871799&_p=1763822334786&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1719222799.1763320976&ul=en-gb&sr=1536x864&uaa=x86&uab=64&uafvl=Chromium%3B142.0.7444.176%7CGoogle%2520Chrome%3B142.0.7444.176%7CNot_A%2520Brand%3B99.0.0.0&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=8&tag_exp=103116026~103200004~104527907~104528500~104684208~104684211~115497442~115583767~115616986~115938465~115938469~116184927~116184929~116217636~116217638&dp=%2Fproduct%2F01KANXV18VA51JQBBKT0D8YXMM&dl=https%3A%2F%2Fpracticesoftwaretesting.com%2Faccount%2Finvoices&dr=https%3A%2F%2Fpracticesoftwaretesting.com%2Fcheckout&sid=1763822334&sct=5&seg=1&dt=Invoices%20-%20Practice%20Software%20Testing%20-%20Toolshop%20-%20v5.0&en=page_view&_et=5833&tfd=43891,5,89,68,167,38.86,0.000%,.14854,0.11,0.18,769.0
Checkout,5,7494,5532,10151,1562.47,100.000%,.12524,7.96,4.53,65054.6
TOTAL,235,537,56,10151,1190.07,48.936%,3.29376,168.26,8.51,52311.5
